dataset,contrast,gene,effect,statistic,p_value,q_value,within_contrast_rank
GSE222756,dorDG_FT_vs_Control,Ttc9b,0.9446251142179879,6.38711967779767,1.6903934644725748e-10,6.313667341032878e-09,354.0
GSE222756,dorDG_FT_vs_Control,Tti2,-0.4624967695260089,-2.8346798661201453,0.004587162742616641,0.01956498896221846,3100.0
GSE222756,dorDG_FT_vs_Control,Ttll13,-1.0266209008616398,-4.090411564927516,4.3060838140171054e-05,0.00040293729786931474,1413.0
GSE222756,dorDG_FT_vs_Control,Ttll9,-0.5039946989498543,-2.5720601060820183,0.010109533856116428,0.03697600460458407,3615.0
GSE222756,dorDG_FT_vs_Control,Ttr,7.598997422914361,59.12694970405313,0.0,0.0,1.0
GSE222756,dorDG_FT_vs_Control,Ttyh3,0.4712537499009487,6.347904872520014,2.182669709476253e-10,7.906646273615073e-09,365.0
GSE222756,dorDG_FT_vs_Control,Tub,-0.7395197743928633,-2.9368562216451415,0.0033155778467256628,0.015059625657645728,2911.0
GSE222756,dorDG_FT_vs_Control,Tuba1b,-0.3980236401990893,-4.22319342828692,2.4086493079399962e-05,0.00024017466930303642,1326.0
GSE222756,dorDG_FT_vs_Control,Tuba4a,-0.4530458670314738,-3.9734761050322334,7.083126695479802e-05,0.0006109139019415129,1533.0
GSE222756,dorDG_FT_vs_Control,Tubb4a,1.6080358494826161,9.8184053175462,9.381582257246508e-23,2.0334964033657925e-20,61.0
GSE222756,dorDG_FT_vs_Control,Tubb4b,-0.3262073908810297,-2.5344981870021797,0.011260850976985138,0.04024080313991824,3700.0
GSE222756,dorDG_FT_vs_Control,Tubb5,0.172026016957053,2.784621644367622,0.0053590215324929745,0.022170222673370293,3196.0
GSE222756,dorDG_FT_vs_Control,Tusc2,0.40156778043537444,3.926579728010118,8.616234032139997e-05,0.0007237855551013661,1574.0
GSE222756,dorDG_FT_vs_Control,Tusc3,0.24104891749186333,2.5340652241625485,0.011274774346823415,0.04027433477676215,3701.0
GSE222756,dorDG_FT_vs_Control,Tvp23a,-0.42332525120151293,-3.376852346519878,0.0007332039758115703,0.004341434378943387,2233.0
GSE222756,dorDG_FT_vs_Control,Twist1,1.1567916919040702,3.646475473107075,0.0002658618411244723,0.0018559795477020977,1894.0
GSE222756,dorDG_FT_vs_Control,Twsg1,-0.7426936472168374,-3.301775313348565,0.0009607499697484675,0.005435616645277808,2337.0
GSE222756,dorDG_FT_vs_Control,Txlna,-0.6957820429866339,-3.9659560639251326,7.310232860689878e-05,0.000627635707039231,1540.0
GSE222756,dorDG_FT_vs_Control,Txn1,-0.18743985179978406,-3.2041907926394937,0.0013544268858287486,0.007174772549850847,2496.0
GSE222756,dorDG_FT_vs_Control,Txndc5,-0.2810848217180396,-2.873035928094297,0.004065478792714318,0.01782877631750206,3015.0
GSE222756,dorDG_FT_vs_Control,Txnl1,0.24403776765054222,2.7528628192317233,0.00590766450594254,0.0238798960860814,3271.0
GSE222756,dorDG_FT_vs_Control,Tymp,0.3190514348874241,3.3111874457942494,0.0009290095615494218,0.005280896140501486,2326.0
